ID,Name,Category,Type,Rating,Download Link,Download Size,Download OS
"2395","DIG","Guitar/Amp","Tube guitar amp","4.6","https://plugins4free.com/get_plug/DIG.zip","1.9","Windows x86"
"2295","Skerratt London Piano","Piano/Strings","Upright piano","4.2","https://plugins4free.com/get_plug/Skerratt_London_Piano_-_64.zip","46.8","Windows x64"
"2358","BDX","Single_drums","Bass drum synth","3.5","https://plugins4free.com/get_plug/bdx_v1.zip","1.5","Windows x86"
"2253","null","Folk/Ethnic","null","4.417","https://plugins4free.com/get_plug/kazoo.zip","null","Windows x86"
"2386","Cadencia","Analog","2 osc analog synth","4.75","https://plugins4free.com/get_plug/cadencia.zip","0.7","Windows x86"
"2336","T-Rex Delay Mini","Delay/Echo","Delay","4","https://plugins4free.com/get_plug/T-Rex-DelayMini.zip","3.8","Windows x86"
"2385","Snorgan","Wavetable","Wavetable synth","null","https://plugins4free.com/get_plug/snorgan.zip","0.8","Windows x86"
"2261","Doppler Dome","Spatial","Doppler effect","4.571","https://plugins4free.com/get_plug/Doppler-Dome_x64.zip","0.8","Windows x64"
"2342","Grace","SF2/Wav","Sampler","3.886","https://plugins4free.com/get_plug/Setup_Grace_64bit_Windows.zip","13.6","Windows x64"
"2259","Anubis 2","Hybrid/Other","Hybrid synth","4.3","https://plugins4free.com/get_plug/Anubis-2.zip","2.6","Windows x86"
"2356","Tromine","Drum_machines","Roland TR-606 emulation","4.6","https://plugins4free.com/get_plug/tromine_v11.zip","1.6","Windows x86"
"2396","Gimme Head","Guitar/Amp","Guitar amp head","4.5","https://plugins4free.com/get_plug/GimmeHead.zip","2.4","Windows x86"
"2375","Bass Module","Guitar/Bass","Bass","3.727","https://plugins4free.com/get_plug/MaxSynths_Bass_Module.zip","101.4","Windows x86"
"2372","Thump","Pitch","Subharmonic synth","null","https://plugins4free.com/get_plug/MH-Thump.zip","38.9","Windows x86"
"2301","Tonmann DeEsser","Gate/Deesser","DeEsser","4.333","https://plugins4free.com/get_plug/Tonmann-DeEsser.zip","1.9","Windows x86"
"2340","ATKColoredCompressor","Dynamics","Mono compressor","null","https://plugins4free.com/get_plug/ATKColoredCompressor_x64.zip","1.2","Windows x64"
